[2023-09-16T15:54:01+0200] [ALPM] removed libdazzle (3.44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gegl (0.4.46-2)
[2023-09-16T15:54:01+0200] [ALPM] removed suitesparse (7.1.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed lapack (3.11.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed blas (3.11.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed luajit (2.1.1694285958-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libspiro (1:20221101-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libraw (0.21.1-2)
[2023-09-16T15:54:01+0200] [ALPM] removed lensfun (1:0.3.4-3)
[2023-09-16T15:54:01+0200] [ALPM] removed jasper (4.0.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed dleyna (0.8.2-2)
[2023-09-16T15:54:01+0200] [ALPM] removed gupnp-dlna (0.12.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed gupnp-av (0.14.1-2)
[2023-09-16T15:54:01+0200] [ALPM] removed babl (0.1.106-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-music (1:44.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed python-gobject (3.46.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed python-cairo (1.24.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed tracker3-miners (3.5.2-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libosinfo (1.10.0-3)
[2023-09-16T15:54:01+0200] [ALPM] removed osinfo-db (20230518-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libiptcdata (1.0.5-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libgsf (1.14.50-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libgrss (0.7.0+16+g971c421-3)
[2023-09-16T15:54:01+0200] [ALPM] removed libsoup (2.74.3-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libcue (2.2.1-3)
[2023-09-16T15:54:01+0200] [ALPM] removed libgexiv2 (0.14.2-1)
[2023-09-16T15:54:01+0200] [ALPM] removed exiv2 (0.28.0-3)
[2023-09-16T15:54:01+0200] [ALPM] removed libinih (57-1)
[2023-09-16T15:54:01+0200] [ALPM] removed grilo-plugins (1:0.3.16-1)
[2023-09-16T15:54:01+0200] [ALPM] removed lua (5.4.6-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libdmapsharing (3.9.13-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gom (0.4-7)
[2023-09-16T15:54:01+0200] [ALPM] removed libmediaart (1.9.6-2)
[2023-09-16T15:54:01+0200] [ALPM] removed grilo (0.3.16-1)
[2023-09-16T15:54:01+0200] [ALPM] removed liboauth (1:1.0.3+r16+gc26f038-1)
[2023-09-16T15:54:01+0200] [ALPM] removed totem-pl-parser (3.26.6-2)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-menus (3.36.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-maps (44.4-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libshumate (1.1.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-logs (43.0-1)
[2023-09-16T15:54:01+0200] [ALPM-SCRIPTLET] Removed "/etc/systemd/user/sockets.target.wants/gnome-keyring-daemon.socket".
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-keyring (1:42.1-3)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-font-viewer (44.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-disk-utility (45.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-control-center (44.4-1)
[2023-09-16T15:54:01+0200] [ALPM] removed smbclient (4.19.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed python (3.11.5-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libnsl (2.0.0-3)
[2023-09-16T15:54:01+0200] [ALPM] removed ldb (2:2.8.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed lmdb (0.9.30-3)
[2023-09-16T15:54:01+0200] [ALPM] removed tevent (1:0.15.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed cifs-utils (7.0-3)
[2023-09-16T15:54:01+0200] [ALPM] removed talloc (2.4.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libwbclient (4.19.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libbsd (0.11.7-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libmd (1.1.0-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libpwquality (1.4.5-3)
[2023-09-16T15:54:01+0200] [ALPM] removed cracklib (2.9.11-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libmalcontent (0.11.1-2)
[2023-09-16T15:54:01+0200] [ALPM] removed libgnomekbd (1:3.28.1-1)
[2023-09-16T15:54:01+0200] [ALPM] removed libxklavier (5.4-5)
[2023-09-16T15:54:01+0200] [ALPM] removed gnome-bluetooth-3.0 (42.6-1)
[2023-09-16T15:54:01+0200] [ALPM] removed pulseaudio-bluetooth (16.1-6)
[2023-09-16T15:54:01+0200] [ALPM] removed bluez (5.69-1)
[2023-09-16T15:54:01+0200] [ALPM] removed cups-pk-helper (0.2.7-1)
[2023-09-16T15:54:01+0200] [ALPM] removed colord-gtk4 (0.3.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed colord-gtk-common (0.3.0-2)
[2023-09-16T15:54:01+0200] [ALPM] removed bolt (0.9.5-1)
